,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,5994,Shiba Inu,SHIB,shiba-inu,795,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589289410812691.0,589534086491242.2,False,,11,,,,2024-04-22T23:52:00.000Z,2.6895315279438427e-05,769849485.9790603,-37.0006,-0.54774038,2.20892964,22.96679583,-1.34879086,182.04304865,205.24970979,15849124494.641836,0.6469,15855705124.16,,2024-04-22T23:52:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-04-22 19:54:33.578080
11,5805,Avalanche,AVAX,avalanche,716,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,378011136.95045066,436700776.95045066,False,,12,,,,2024-04-22T23:52:00.000Z,39.210316604389114,478060484.28334993,35.9811,-0.6317025,5.64558019,11.61350404,-26.85057992,6.58900985,29.13138839,14821936359.812263,0.6049,28064733881.18,,2024-04-22T23:52:00.000Z,,,,,,2024-04-22 19:54:33.578080
12,6636,Polkadot,DOT,polkadot-new,748,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1436551502.6632836,1436551502.6632836,True,,13,,,,2024-04-22T23:54:00.000Z,7.478786639369053,220546843.14121246,46.9349,-0.59602075,4.82020804,11.4930677,-17.08388175,-0.11711817,17.85026666,10743662184.883701,0.4385,10743662184.88,,2024-04-22T23:54:00.000Z,,,,,,2024-04-22 19:54:33.578080
13,1831,Bitcoin Cash,BCH,bitcoin-cash,882,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19695521.875,19695521.875,False,,14,,,,2024-04-22T23:53:00.000Z,522.4133032029334,350646505.7555005,5.1117,-0.67429953,3.90113091,3.08236091,14.10463316,100.80258317,127.78771164,10289202641.024384,0.4199,10970679367.26,,2024-04-22T23:53:00.000Z,,,,,,2024-04-22 19:54:33.578080
14,1958,TRON,TRX,tron,972,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87587460643.77914,87587464210.74162,True,,15,71659659264.0,8050420314.794932,,2024-04-22T23:53:00.000Z,0.11234243083875868,277400594.2395122,37.0833,0.05190763,0.89294583,0.7826797,-5.36450362,-19.1378256,4.86868558,9839788239.716257,0.4016,9839788640.44,,2024-04-22T23:53:00.000Z,,,,,,2024-04-22 19:54:33.578080
0,1,Bitcoin,BTC,bitcoin,11015,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19688765.0,19688765.0,False,,1,,,,2024-04-22T23:54:00.000Z,66857.5356562364,28276413282.095726,37.8866,-0.20249453,2.93778412,5.30660998,3.96158407,30.28870195,67.8429063,1316342308014.7593,53.7256,1404008248780.96,,2024-04-22T23:54:00.000Z,,,,,,2024-04-22 19:55:34.865308
1,1027,Ethereum,ETH,ethereum,8850,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120072366.96347131,120072366.96347131,True,,2,,,,2024-04-22T23:54:00.000Z,3202.1269982967906,12066737529.395714,28.3925,-0.38038142,1.69777563,3.22389704,-4.3497028,7.72453823,42.78558807,384486968003.1311,15.6926,384486968003.13,,2024-04-22T23:54:00.000Z,,,,,,2024-04-22 19:55:34.865308
2,825,Tether USDt,USDT,tether,83679,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,109840251114.81395,112941048614.41264,True,,3,,,,2024-04-22T23:54:00.000Z,1.0003182961618304,52716291974.35804,28.7761,-0.01516065,-0.01111733,0.00579773,-0.00377029,0.09814759,0.10396554,109875212845.15828,4.4845,112976997316.7,,2024-04-22T23:54:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-04-22 19:55:34.865308
3,1839,BNB,BNB,bnb,2151,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149533001.16931787,149533001.16931787,False,,4,,,,2024-04-22T23:54:00.000Z,605.6977928127151,1298736656.6784446,66.0658,0.06979504,4.58752236,9.62204184,9.17265085,58.57595596,103.1241342,90571808760.91698,3.6966,90571808760.92,,2024-04-22T23:54:00.000Z,,,,,,2024-04-22 19:55:34.865308
4,5426,Solana,SOL,solana,655,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,446922356.94826436,574440914.9503953,True,,5,,,,2024-04-22T23:54:00.000Z,157.13498306977453,2958264908.2267065,33.5542,-0.24317675,5.60995061,13.64419554,-9.47730937,54.31033117,87.02577316,70227136992.56924,2.8663,90264763445.32,,2024-04-22T23:54:00.000Z,,,,,,2024-04-22 19:55:34.865308
5,3408,USDC,USDC,usd-coin,18622,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,33795787802.648556,33795787802.648556,False,,6,,,,2024-04-22T23:54:00.000Z,1.0000159029480256,7097303603.299044,53.5063,-0.01591323,-0.01291191,0.00078628,-0.03414639,0.00419167,-0.01544307,33796325255.305466,1.3794,33796325255.31,,2024-04-22T23:54:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-04-22 19:55:34.865308
6,52,XRP,XRP,xrp,1304,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55129144019.0,99987674482.0,False,,7,,,,2024-04-22T23:55:00.000Z,0.5567679529665753,1667798295.6527743,85.855,-0.46377996,6.11022627,11.8480158,-9.97261355,2.93076524,7.59986364,30694140664.25815,1.2528,55676795296.66,,2024-04-22T23:55:00.000Z,,,,,,2024-04-22 19:55:34.865308
7,74,Dogecoin,DOGE,dogecoin,958,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,143995636383.70526,143995636383.70526,True,,8,,,,2024-04-22T23:55:00.000Z,0.16123112428888278,1251710262.6089437,-3.2972,-0.49503231,1.88175628,-0.27790109,-0.34161346,91.60095925,106.30908711,23216578346.837955,0.9476,23216578346.84,,2024-04-22T23:55:00.000Z,,,,,,2024-04-22 19:55:34.865308
8,11419,Toncoin,TON,toncoin,290,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3471273378.9106216,5105594177.180327,True,,9,3414166606.0,20258603975.164024,,2024-04-22T23:54:00.000Z,5.933689334188287,240312724.7528159,15.2373,0.53583664,-3.4204577,-9.64632293,22.04654866,184.4523093,179.88600205,20597457824.49369,0.8407,30295009713.83,,2024-04-22T23:54:00.000Z,,,,,,2024-04-22 19:55:34.865308
9,2010,Cardano,ADA,cardano,1145,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35628261772.329,36812929523.021,False,,10,,,,2024-04-22T23:54:00.000Z,0.5167974716013098,402739321.9471384,13.5062,-0.59038155,3.47570435,12.33460391,-17.65224589,-11.86674213,8.53101259,18412595601.48923,0.7515,23255886222.06,,2024-04-22T23:54:00.000Z,,,,,,2024-04-22 19:55:34.865308
10,5994,Shiba Inu,SHIB,shiba-inu,795,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589289410812691.0,589534086491242.2,False,,11,,,,2024-04-22T23:54:00.000Z,2.6895252928314366e-05,769658641.7948471,-36.9675,-0.57210152,2.22052924,22.94293658,-1.31660496,182.10769704,205.19594706,15849087751.784676,0.6469,15855668366.04,,2024-04-22T23:54:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-04-22 19:55:34.865308
